,titles,tags,prices,images
0,United Penguin Kingdom,"Strategy, City Builder, Survival, Management","??13,060",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
1,Anchors Blockade Zone:Prologue,"Singleplayer, Survival, Pixel Graphics, Post-apocalyptic","??6,650",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
2,BORE BLASTERS,"Dwarf, Mining, Exploration, Loot","??2,900",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
3,Stolen Realm,"Turn-Based Tactics, Party-Based RPG, Tactical RPG, CRPG","??33,960",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
4,Sim City 3000??Unlimited,"Simulation, Strategy, Casual, City Builder","??10,250",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
5,"The Saboteur??""","Action, Adventure, Singleplayer, Third Person","??13,950",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
6,A Difficult Game About Climbing,"Precision Platformer, Difficult, Funny, Physics","??11,550",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
7,100 March Cats,"Free to Play, Cats, Casual, Romance","??13,500",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
8,Heavy Storm Shadow:Prologue,"Action, Indie, Singleplayer, Action Roguelike",Free,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
9,The Outlast Trials,"Horror, Multiplayer, Co-op, Survival Horror","??8,910",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
10,Hospital 666,"Horror, Realistic, Online Co-Op, Psychological Horror","??19,350",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
11,The Thaumaturge,"RPG, Choices Matter, Turn-Based Combat, Dark","??2,240",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
12,Spell Disk,"Action Roguelike, Hack and Slash, Roguelite, Shoot 'Em Up","??5,500",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
13,Vivaland: Dream House,"Simulation, Building, Life Sim, Casual","??11,000",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
14,DRAGON BALL FighterZ,"Fighting, Anime, Action, 2D Fighter",Free To Play,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
15,Meta-Ghost: Prologue,"Action Roguelike, Online Co-Op, Cyberpunk, Loot",Free To Play,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
16,Dicefolk,"Roguelike Deckbuilder, Turn-Based Strategy, Roguelike, Turn-Based Combat","??42,000",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
17,100 Dino Cats,"Free to Play, Cats, Dinosaurs, Hidden Object","??7,120",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
18,NIGHT-RUNNERS??PROLOGUE,"Racing, Automobile Sim, RPG, Sports","??37,500",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
19,Alpha League,"Auto Battler, Turn-Based Tactics, Roguelite, MOBA","??16,500",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
20,Sons Of The Forest,"Survival, Open World, Multiplayer, Survival Horror",Free,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
21,Pacific Drive,"Story Rich, Survival, Action, Sci-fi","??39,920",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
22,Ruindog:Prologue,"Action, Indie, Singleplayer, Action Roguelike",Free To Play,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
23,è¿·å??¡èˆŽ | School Labyrinth,"Horror, Procedural Generation, Action, Online Co-Op","??16,500",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
24,Last Epoch,"Action RPG, Loot, Hack and Slash, RPG",Free To Play,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
25,Balatro,"Roguelike Deckbuilder, Card Game, Deckbuilding, Roguelike",Free,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
26,"Please, Touch The Artwork 2","Adventure, Casual, Hidden Object, Point & Click",Free To Play,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
27,20 Small Mazes,"Puzzle, 2D, Relaxing, Casual","??32,000",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
28,Sonder,"Casual, Adventure, Platformer, Puzzle","??32,000",https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
29,DRAGON QUEST BUILDERS,"RPG, Platformer, JRPG, Character Customization",Free To Play,https://store.cloudflare.steamstatic.com/public/shared/images/trans.gif
30,HELLDIVERS??2,"Action, Online Co-Op, Third-Person Shooter, Multiplayer","??7,800",https://cdn.cloudflare.steamstatic.com/steam/apps/553850/capsule_184x69.jpg?t=1709666906
31,PUBG: BATTLEGROUNDS,"Survival, Shooter, Battle Royale, Multiplayer","??37,500",https://cdn.cloudflare.steamstatic.com/steam/apps/578080/capsule_184x69.jpg?t=1707123905
32,Eternal Return,"Free to Play, Anime, MOBA, Multiplayer","??16,500",https://cdn.cloudflare.steamstatic.com/steam/apps/1049590/capsule_184x69.jpg?t=1707967135
